"image_id","left_wing (mm)","right_wing (mm)","left_wing_center (mm)","right_wing_center (mm)","wing_span (mm)","wing_shoulder (mm)","image_path","view","specimen_id","stage","segmenter","pixels_per_mm","status","error"
"IMG_1516.JPG",41.8,41.16,50.39,50.0,75.23,4.9,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1516.JPG","dorsal","1145787","measurements","unet",30.97752808988764,"ok",""
"IMG_1517.JPG",39.71,39.79,48.88,48.75,73.85,6.01,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1517.JPG","ventral","1145787","measurements","unet",30.95505617977528,"ok",""
"IMG_1518.JPG",47.64,47.23,56.37,56.46,83.02,4.28,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1518.JPG","dorsal","1145788","measurements","unet",31.056179775280903,"ok",""
"IMG_1519.JPG",45.49,45.94,54.96,54.33,80.94,4.33,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1519.JPG","ventral","1145788","measurements","unet",30.611111111111114,"ok",""
"IMG_1522.JPG",44.38,43.98,53.4,52.99,83.45,6.21,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1522.JPG","dorsal","1145790","measurements","unet",30.95505617977528,"ok",""
"IMG_1523.JPG",43.71,44.15,51.82,51.32,82.6,5.97,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1523.JPG","ventral","1145790","measurements","unet",30.92134831460674,"ok",""
"IMG_1524.JPG",40.26,40.63,49.55,49.59,73.93,4.73,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1524.JPG","dorsal","1145791","measurements","unet",30.943820224719104,"ok",""
"IMG_1525.JPG",41.12,39.73,49.84,49.15,73.43,4.02,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1525.JPG","ventral","1145791","measurements","unet",30.943820224719104,"ok",""
"IMG_1526.JPG",39.68,37.18,48.85,48.73,71.05,5.99,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1526.JPG","dorsal","1145792","measurements","unet",30.92134831460674,"ok",""
"IMG_1527.JPG",39.56,39.14,47.63,47.48,69.43,2.78,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1527.JPG","ventral","1145792","measurements","unet",30.95505617977528,"ok",""
"IMG_1528.JPG",35.69,35.95,44.59,43.54,66.08,5.2,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1528.JPG","dorsal","1145793","measurements","unet",30.93258426966292,"ok",""
"IMG_1529.JPG",35.2,35.43,43.12,43.64,64.28,4.99,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1529.JPG","ventral","1145793","measurements","unet",30.93258426966292,"ok",""
"IMG_1530.JPG",46.42,45.03,54.37,54.07,83.0,3.63,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1530.JPG","dorsal","1145794","measurements","unet",30.97752808988764,"ok",""
"IMG_1531.JPG",44.04,43.34,52.92,52.36,80.9,5.0,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1531.JPG","ventral","1145794","measurements","unet",30.85393258426966,"ok",""
"IMG_1532.JPG",47.64,45.58,56.85,55.96,84.86,5.29,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1532.JPG","dorsal","1145795","measurements","unet",30.96629213483146,"ok",""
"IMG_1533.JPG",47.21,46.87,53.43,52.98,82.41,1.43,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1533.JPG","ventral","1145795","measurements","unet",30.898876404494388,"ok",""
"IMG_1534.JPG",44.53,44.6,53.05,53.2,82.3,4.81,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1534.JPG","dorsal","1145796","measurements","unet",30.93258426966292,"ok",""
"IMG_1535.JPG",43.78,44.44,52.8,52.18,81.24,4.44,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1535.JPG","ventral","1145796","measurements","unet",30.92134831460674,"ok",""
"IMG_1536.JPG",42.5,42.82,52.87,52.49,69.43,3.12,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1536.JPG","dorsal","1145797","measurements","unet",30.898876404494388,"ok",""
"IMG_1537.JPG",40.28,40.44,50.45,50.28,66.92,3.05,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1537.JPG","ventral","1145797","measurements","unet",30.92134831460674,"ok",""
"IMG_1538.JPG",47.31,46.75,56.94,56.21,88.02,5.99,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1538.JPG","dorsal","1145798","measurements","unet",30.711111111111112,"ok",""
"IMG_1539.JPG",46.1,46.99,55.9,55.4,87.01,5.76,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1539.JPG","ventral","1145798","measurements","unet",30.711111111111112,"ok",""
"IMG_1540.JPG",39.1,39.07,46.35,45.68,70.68,3.54,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1540.JPG","dorsal","1145799","measurements","unet",31.056179775280903,"ok",""
"IMG_1541.JPG",38.44,38.53,45.39,45.43,70.16,3.76,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1541.JPG","ventral","1145799","measurements","unet",30.711111111111112,"ok",""
"IMG_1542.JPG",32.64,32.21,38.3,37.82,61.09,3.0,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1542.JPG","dorsal","1145800","measurements","unet",31.056179775280903,"ok",""
"IMG_1543.JPG",31.38,31.2,37.18,37.33,60.44,3.34,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1543.JPG","ventral","1145800","measurements","unet",30.711111111111112,"ok",""
"IMG_1544.JPG",39.84,40.95,49.41,48.99,73.41,5.25,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1544.JPG","dorsal","1145801","measurements","unet",31.056179775280903,"ok",""
"IMG_1545.JPG",41.53,39.48,48.72,48.99,73.02,3.48,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1545.JPG","ventral","1145801","measurements","unet",30.711111111111112,"ok",""
"IMG_1546.JPG",32.83,33.25,41.07,40.92,56.8,3.62,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1546.JPG","dorsal","1145802","measurements","unet",31.056179775280903,"ok",""
"IMG_1547.JPG",28.55,29.45,36.86,37.0,53.71,5.51,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1547.JPG","ventral","1145802","measurements","unet",30.666666666666668,"ok",""
"IMG_1548.JPG",45.1,42.95,51.63,50.93,77.28,1.89,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1548.JPG","dorsal","1145803","measurements","unet",31.056179775280903,"ok",""
"IMG_1549.JPG",40.69,40.99,48.93,48.61,73.96,4.05,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1549.JPG","ventral","1145803","measurements","unet",30.711111111111112,"ok",""
"IMG_1550.JPG",44.65,43.62,54.36,52.6,83.99,5.75,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1550.JPG","dorsal","1145804","measurements","unet",31.056179775280903,"ok",""
"IMG_1551.JPG",43.63,44.38,53.15,53.22,83.39,5.36,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1551.JPG","ventral","1145804","measurements","unet",30.711111111111112,"ok",""
"IMG_1552.JPG",36.55,37.24,42.89,43.11,72.55,4.84,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1552.JPG","dorsal","1145805","measurements","unet",31.056179775280903,"ok",""
"IMG_1553.JPG",36.04,36.7,41.85,41.32,71.87,4.99,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1553.JPG","ventral","1145805","measurements","unet",30.711111111111112,"ok",""
"IMG_1554.JPG",35.87,36.0,43.31,43.12,64.37,4.18,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1554.JPG","dorsal","1145806","measurements","unet",31.056179775280903,"ok",""
"IMG_1555.JPG",35.97,33.58,41.74,41.97,62.96,2.64,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1555.JPG","ventral","1145806","measurements","unet",30.711111111111112,"ok",""
"IMG_1556.JPG",31.09,31.44,39.4,38.83,60.35,5.67,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1556.JPG","dorsal","1145807","measurements","unet",31.056179775280903,"ok",""
"IMG_1557.JPG",29.11,30.37,38.27,38.26,58.97,6.66,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1557.JPG","ventral","1145807","measurements","unet",30.711111111111112,"ok",""
"IMG_1558.JPG",40.31,39.7,49.98,48.74,71.66,5.99,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1558.JPG","dorsal","1145808","measurements","unet",31.056179775280903,"ok",""
"IMG_1559.JPG",39.22,39.39,48.25,48.25,70.3,5.54,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1559.JPG","ventral","1145808","measurements","unet",30.711111111111112,"ok",""
"IMG_1560.JPG",41.72,41.02,49.51,49.25,76.96,4.8,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1560.JPG","dorsal","1145809","measurements","unet",31.056179775280903,"ok",""
